"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
	"Potter County, TX"	"48375"	90	10217	8.8	7.1	10.8
	"Randall County, TX"	"48381"	43	8396	5.1	3.7	6.9
	"Rockwall County, TX"	"48397"	27	4936	5.5	3.6	8.0
	"Rusk County, TX"	"48401"	15	3200	4.7	Suppressed	Suppressed
	"San Patricio County, TX"	"48409"	26	4869	5.3	3.5	7.8
	"Shelby County, TX"	"48419"	15	1841	8.1	Suppressed	Suppressed
	"Smith County, TX"	"48423"	123	15306	8.0	6.6	9.5
	"Starr County, TX"	"48427"	31	6736	4.6	3.1	6.5
	"Tarrant County, TX"	"48439"	977	139661	7.0	6.6	7.4
	"Taylor County, TX"	"48441"	69	10347	6.7	5.2	8.4
	"Titus County, TX"	"48449"	11	2532	4.3	Suppressed	Suppressed
	"Tom Green County, TX"	"48451"	34	7971	4.3	3.0	6.0
	"Travis County, TX"	"48453"	349	79756	4.4	3.9	4.8
	"Upshur County, TX"	"48459"	25	2368	10.6	6.8	15.6
	"Val Verde County, TX"	"48465"	14	4389	3.2	Suppressed	Suppressed
	"Van Zandt County, TX"	"48467"	18	2882	6.2	Suppressed	Suppressed
	"Victoria County, TX"	"48469"	39	6529	6.0	4.2	8.2
	"Walker County, TX"	"48471"	15	3154	4.8	Suppressed	Suppressed
	"Waller County, TX"	"48473"	13	2972	4.4	Suppressed	Suppressed
	"Webb County, TX"	"48479"	146	27282	5.4	4.5	6.2
	"Wharton County, TX"	"48481"	20	2764	7.2	4.4	11.2
	"Wichita County, TX"	"48485"	79	8932	8.8	7.0	11.0
	"Willacy County, TX"	"48489"	13	1526	8.5	Suppressed	Suppressed
	"Williamson County, TX"	"48491"	138	31055	4.4	3.7	5.2
	"Wilson County, TX"	"48493"	11	2561	4.3	Suppressed	Suppressed
	"Wise County, TX"	"48497"	25	3880	6.4	4.2	9.5
	"Wood County, TX"	"48499"	17	2046	8.3	Suppressed	Suppressed
	"Box Elder County, UT"	"49003"	25	4362	5.7	3.7	8.5
	"Cache County, UT"	"49005"	57	11898	4.8	3.6	6.2
	"Davis County, UT"	"49011"	144	28972	5.0	4.2	5.8
	"Duchesne County, UT"	"49013"	11	2163	5.1	Suppressed	Suppressed
	"Iron County, UT"	"49021"	33	4234	7.8	5.4	10.9
	"Salt Lake County, UT"	"49035"	446	89109	5.0	4.5	5.5
	"Sevier County, UT"	"49041"	10	1519	6.6	Suppressed	Suppressed
	"Summit County, UT"	"49043"	10	2157	4.6	Suppressed	Suppressed
	"Tooele County, UT"	"49045"	19	4910	3.9	Suppressed	Suppressed
	"Uintah County, UT"	"49047"	18	3505	5.1	Suppressed	Suppressed
	"Utah County, UT"	"49049"	283	59683	4.7	4.2	5.3
	"Washington County, UT"	"49053"	51	10966	4.7	3.5	6.1
	"Weber County, UT"	"49057"	133	19554	6.8	5.6	8.0
	"Bennington County, VT"	"50003"	11	1713	6.4	Suppressed	Suppressed
	"Chittenden County, VT"	"50007"	37	7865	4.7	3.3	6.5
	"Rutland County, VT"	"50021"	11	2742	4.0	Suppressed	Suppressed
	"Washington County, VT"	"50023"	13	2849	4.6	Suppressed	Suppressed
	"Windham County, VT"	"50025"	11	2017	5.5	Suppressed	Suppressed
	"Windsor County, VT"	"50027"	14	2411	5.8	Suppressed	Suppressed
	"Accomack County, VA"	"51001"	20	2010	10.0	6.1	15.4
	"Albemarle County, VA"	"51003"	14	5270	2.7	Suppressed	Suppressed
	"Alleghany County, VA"	"51005"	11	681	16.2	Suppressed	Suppressed
	"Amherst County, VA"	"51009"	12	1652	7.3	Suppressed	Suppressed
	"Arlington County, VA"	"51013"	52	15809	3.3	2.5	4.3
	"Bedford County, VA"	"51019"	21	3182	6.6	4.1	10.1
	"Buchanan County, VA"	"51027"	10	994	10.1	Suppressed	Suppressed
	"Campbell County, VA"	"51031"	20	2465	8.1	5.0	12.5
	"Caroline County, VA"	"51033"	12	1975	6.1	Suppressed	Suppressed
	"Chesterfield County, VA"	"51041"	116	18654	6.2	5.1	7.4
	"Culpeper County, VA"	"51047"	21	3225	6.5	4.0	10.0
	"Dinwiddie County, VA"	"51053"	11	1100	10.0	Suppressed	Suppressed
	"Fairfax County, VA"	"51059"	334	73877	4.5	4.0	5.0
	"Fauquier County, VA"	"51061"	17	3720	4.6	Suppressed	Suppressed
	"Franklin County, VA"	"51067"	17	2551	6.7	Suppressed	Suppressed
	"Frederick County, VA"	"51069"	25	4693	5.3	3.4	7.9
	"Halifax County, VA"	"51083"	16	1794	8.9	Suppressed	Suppressed
	"Hanover County, VA"	"51085"	22	4519	4.9	3.1	7.4
	"Henrico County, VA"	"51087"	135	19872	6.8	5.6	7.9
	"Henry County, VA"	"51089"	26	2352	11.1	7.2	16.2
	"Isle of Wight County, VA"	"51093"	11	1664	6.6	Suppressed	Suppressed
	"James City County, VA"	"51095"	22	3571	6.2	3.9	9.3
	"King William County, VA"	"51101"	10	925	10.8	Suppressed	Suppressed
	"Lee County, VA"	"51105"	11	1235	8.9	Suppressed	Suppressed
	"Loudoun County, VA"	"51107"	98	25279	3.9	3.1	4.7
	"Mecklenburg County, VA"	"51117"	19	1441	13.2	Suppressed	Suppressed
	"Montgomery County, VA"	"51121"	20	4491	4.5	2.7	6.9
	"Northampton County, VA"	"51131"	11	673	16.3	Suppressed	Suppressed
	"Nottoway County, VA"	"51135"	11	870	12.6	Suppressed	Suppressed
	"Orange County, VA"	"51137"	12	1946	6.2	Suppressed	Suppressed
	"Prince Edward County, VA"	"51147"	11	1098	10.0	Suppressed	Suppressed
	"Prince George County, VA"	"51149"	14	1696	8.3	Suppressed	Suppressed
	"Prince William County, VA"	"51153"	176	34149	5.2	4.4	5.9
	"Roanoke County, VA"	"51161"	31	4024	7.7	5.2	10.9
	"Rockingham County, VA"	"51165"	16	4068	3.9	Suppressed	Suppressed
	"Russell County, VA"	"51167"	10	1364	7.3	Suppressed	Suppressed
	"Shenandoah County, VA"	"51171"	14	2326	6.0	Suppressed	Suppressed
	"Spotsylvania County, VA"	"51177"	57	7773	7.3	5.6	9.5
	"Stafford County, VA"	"51179"	48	8427	5.7	4.2	7.6
	"Tazewell County, VA"	"51185"	16	2232	7.2	Suppressed	Suppressed
	"Warren County, VA"	"51187"	14	2317	6.0	Suppressed	Suppressed
	"Washington County, VA"	"51191"	15	3097	4.8	Suppressed	Suppressed
	"Wise County, VA"	"51195"	14	2155	6.5	Suppressed	Suppressed
	"York County, VA"	"51199"	14	3132	4.5	Suppressed	Suppressed
	"Alexandria city, VA"	"51510"	62	13991	4.4	3.4	5.7
	"Bristol city, VA"	"51520"	16	346	46.2	Suppressed	Suppressed
	"Charlottesville city, VA"	"51540"	13	2913	4.5	Suppressed	Suppressed
	"Chesapeake city, VA"	"51550"	98	14365	6.8	5.5	8.3
	"Danville city, VA"	"51590"	29	2827	10.3	6.9	14.7
	"Franklin city, VA"	"51620"	10	621	16.1	Suppressed	Suppressed
	"Fredericksburg city, VA"	"51630"	13	2099	6.2	Suppressed	Suppressed
	"Hampton city, VA"	"51650"	91	8789	10.4	8.3	12.7
	"Harrisonburg city, VA"	"51660"	10	3005	3.3	Suppressed	Suppressed
	"Hopewell city, VA"	"51670"	24	1814	13.2	8.5	19.7
	"Lynchburg city, VA"	"51680"	33	5633	5.9	4.0	8.2
	"Manassas city, VA"	"51683"	15	3773	4.0	Suppressed	Suppressed
	"Newport News city, VA"	"51700"	135	14439	9.3	7.8	10.9
	"Norfolk city, VA"	"51710"	189	18667	10.1	8.7	11.6
	"Petersburg city, VA"	"51730"	27	3374	8.0	5.3	11.6
	"Portsmouth city, VA"	"51740"	82	7697	10.7	8.5	13.2
	"Richmond city, VA"	"51760"	161	14795	10.9	9.2	12.6
	"Roanoke city, VA"	"51770"	69	7618	9.1	7.0	11.5
	"Suffolk city, VA"	"51800"	51	5723	8.9	6.6	11.7
	"Virginia Beach city, VA"	"51810"	178	30785	5.8	4.9	6.6
	"Waynesboro city, VA"	"51820"	13	1688	7.7	Suppressed	Suppressed
	"Winchester city, VA"	"51840"	15	1887	7.9	Suppressed	Suppressed
	"Benton County, WA"	"53005"	63	12972	4.9	3.7	6.2
	"Chelan County, WA"	"53007"	16	4646	3.4	Suppressed	Suppressed
	"Clallam County, WA"	"53009"	27	3337	8.1	5.3	11.8
	"Clark County, WA"	"53011"	123	27320	4.5	3.7	5.3
	"Cowlitz County, WA"	"53015"	36	5958	6.0	4.2	8.4
	"Franklin County, WA"	"53021"	36	8344	4.3	3.0	6.0
	"Grant County, WA"	"53025"	33	7638	4.3	3.0	6.1
	"Grays Harbor County, WA"	"53027"	19	3900	4.9	Suppressed	Suppressed
	"Island County, WA"	"53029"	16	4504	3.6	Suppressed	Suppressed
	"King County, WA"	"53033"	510	125426	4.1	3.7	4.4
	"Kitsap County, WA"	"53035"	87	14907	5.8	4.7	7.2
	"Lewis County, WA"	"53041"	32	4365	7.3	5.0	10.3
	"Mason County, WA"	"53045"	16	3150	5.1	Suppressed	Suppressed
	"Okanogan County, WA"	"53047"	14	2613	5.4	Suppressed	Suppressed
	"Pierce County, WA"	"53053"	315	56858	5.5	4.9	6.2
	"Skagit County, WA"	"53057"	37	7195	5.1	3.6	7.1
	"Snohomish County, WA"	"53061"	180	46862	3.8	3.3	4.4
	"Spokane County, WA"	"53063"	170	29868	5.7	4.8	6.5
	"Thurston County, WA"	"53067"	77	15567	4.9	3.9	6.2
	"Walla Walla County, WA"	"53071"	23	3389	6.8	4.3	10.2
	"Whatcom County, WA"	"53073"	50	11426	4.4	3.2	5.8
	"Whitman County, WA"	"53075"	14	2233	6.3	Suppressed	Suppressed
	"Yakima County, WA"	"53077"	99	20417	4.8	3.9	5.9
	"Berkeley County, WV"	"54003"	51	6887	7.4	5.5	9.7
	"Cabell County, WV"	"54011"	46	6000	7.7	5.6	10.2
	"Fayette County, WV"	"54019"	10	2688	3.7	Suppressed	Suppressed
	"Greenbrier County, WV"	"54025"	11	1856	5.9	Suppressed	Suppressed
	"Hampshire County, WV"	"54027"	10	1157	8.6	Suppressed	Suppressed
	"Hancock County, WV"	"54029"	12	1443	8.3	Suppressed	Suppressed
	"Harrison County, WV"	"54033"	25	4040	6.2	4.0	9.1
	"Jackson County, WV"	"54035"	14	1630	8.6	Suppressed	Suppressed
	"Jefferson County, WV"	"54037"	11	2980	3.7	Suppressed	Suppressed
	"Kanawha County, WV"	"54039"	61	10884	5.6	4.3	7.2
	"Lewis County, WV"	"54041"	15	1018	14.7	Suppressed	Suppressed
	"Logan County, WV"	"54045"	15	2048	7.3	Suppressed	Suppressed
	"McDowell County, WV"	"54047"	14	1256	11.1	Suppressed	Suppressed
	"Marion County, WV"	"54049"	23	3252	7.1	4.5	10.6
	"Mercer County, WV"	"54055"	27	3741	7.2	4.8	10.5
	"Mineral County, WV"	"54057"	13	1466	8.9	Suppressed	Suppressed
	"Mingo County, WV"	"54059"	15	1690	8.9	Suppressed	Suppressed
	"Monongalia County, WV"	"54061"	39	5445	7.2	5.1	9.8
	"Nicholas County, WV"	"54067"	17	1430	11.9	Suppressed	Suppressed
	"Ohio County, WV"	"54069"	16	2385	6.7	Suppressed	Suppressed
	"Preston County, WV"	"54077"	18	1742	10.3	Suppressed	Suppressed
	"Putnam County, WV"	"54079"	22	3001	7.3	4.6	11.1
	"Raleigh County, WV"	"54081"	35	4607	7.6	5.3	10.6
	"Randolph County, WV"	"54083"	15	1564	9.6	Suppressed	Suppressed
	"Upshur County, WV"	"54097"	10	1371	7.3	Suppressed	Suppressed
	"Wayne County, WV"	"54099"	11	2005	5.5	Suppressed	Suppressed
	"Wood County, WV"	"54107"	40	4921	8.1	5.8	11.1
	"Wyoming County, WV"	"54109"	10	1146	8.7	Suppressed	Suppressed
	"Barron County, WI"	"55005"	12	2564	4.7	Suppressed	Suppressed
	"Brown County, WI"	"55009"	100	17021	5.9	4.7	7.0
	"Calumet County, WI"	"55015"	11	2735	4.0	Suppressed	Suppressed
	"Chippewa County, WI"	"55017"	27	3593	7.5	5.0	10.9
	"Clark County, WI"	"55019"	18	2838	6.3	Suppressed	Suppressed
	"Columbia County, WI"	"55021"	13	3044	4.3	Suppressed	Suppressed
	"Dane County, WI"	"55025"	161	30808	5.2	4.4	6.0
	"Dodge County, WI"	"55027"	20	4170	4.8	2.9	7.4
	"Douglas County, WI"	"55031"	15	2187	6.9	Suppressed	Suppressed
	"Dunn County, WI"	"55033"	14	2275	6.2	Suppressed	Suppressed
	"Eau Claire County, WI"	"55035"	34	5962	5.7	3.9	8.0
	"Fond du Lac County, WI"	"55039"	35	5506	6.4	4.4	8.8
	"Grant County, WI"	"55043"	20	2758	7.3	4.4	11.2
	"Iowa County, WI"	"55049"	12	1332	9.0	Suppressed	Suppressed
	"Jefferson County, WI"	"55055"	14	4423	3.2	Suppressed	Suppressed
	"Kenosha County, WI"	"55059"	57	9753	5.8	4.4	7.6
	"La Crosse County, WI"	"55063"	20	6292	3.2	1.9	4.9
	"Manitowoc County, WI"	"55071"	26	4112	6.3	4.1	9.3
	"Marathon County, WI"	"55073"	42	8050	5.2	3.8	7.1
	"Marinette County, WI"	"55075"	11	1898	5.8	Suppressed	Suppressed
	"Milwaukee County, WI"	"55079"	592	70116	8.4	7.8	9.1
	"Monroe County, WI"	"55081"	27	3078	8.8	5.8	12.8
	"Oconto County, WI"	"55083"	14	1762	7.9	Suppressed	Suppressed
	"Outagamie County, WI"	"55087"	55	11478	4.8	3.6	6.2
	"Ozaukee County, WI"	"55089"	15	4095	3.7	Suppressed	Suppressed
	"Portage County, WI"	"55097"	11	3435	3.2	Suppressed	Suppressed
	"Racine County, WI"	"55101"	94	11978	7.8	6.3	9.6
	"Rock County, WI"	"55105"	51	9640	5.3	3.9	7.0
	"St. Croix County, WI"	"55109"	25	5260	4.8	3.1	7.0
	"Sauk County, WI"	"55111"	21	3826	5.5	3.4	8.4
	"Sheboygan County, WI"	"55117"	21	6309	3.3	2.1	5.1
	"Vernon County, WI"	"55123"	13	2125	6.1	Suppressed	Suppressed
	"Walworth County, WI"	"55127"	33	5205	6.3	4.4	8.9
	"Washington County, WI"	"55131"	31	6713	4.6	3.1	6.6
	"Waukesha County, WI"	"55133"	77	18890	4.1	3.2	5.1
	"Winnebago County, WI"	"55139"	56	9425	5.9	4.5	7.7
	"Wood County, WI"	"55141"	17	4148	4.1	Suppressed	Suppressed
	"Campbell County, WY"	"56005"	28	3815	7.3	4.9	10.6
	"Fremont County, WY"	"56013"	14	2958	4.7	Suppressed	Suppressed
	"Laramie County, WY"	"56021"	31	6315	4.9	3.3	7.0
	"Natrona County, WY"	"56025"	36	5640	6.4	4.5	8.8
