"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
	"Franklin County, PA"	"42055"	11	1838	6.0	Suppressed	Suppressed
	"Lackawanna County, PA"	"42069"	20	2202	9.1	5.5	14.0
	"Lancaster County, PA"	"42071"	45	7263	6.2	4.5	8.3
	"Lehigh County, PA"	"42077"	26	4193	6.2	4.1	9.1
	"Luzerne County, PA"	"42079"	20	3168	6.3	3.9	9.8
	"Mercer County, PA"	"42085"	11	1151	9.6	Suppressed	Suppressed
	"Montgomery County, PA"	"42091"	45	8905	5.1	3.7	6.8
	"Philadelphia County, PA"	"42101"	180	22106	8.1	7.0	9.3
	"Schuylkill County, PA"	"42107"	10	1318	7.6	Suppressed	Suppressed
	"Washington County, PA"	"42125"	11	1974	5.6	Suppressed	Suppressed
	"York County, PA"	"42133"	24	4932	4.9	3.1	7.2
	"Providence County, RI"	"44007"	45	7391	6.1	4.4	8.1
	"Anderson County, SC"	"45007"	23	2254	10.2	6.5	15.3
	"Berkeley County, SC"	"45015"	14	2725	5.1	Suppressed	Suppressed
	"Charleston County, SC"	"45019"	25	4994	5.0	3.2	7.4
	"Florence County, SC"	"45041"	23	1696	13.6	8.6	20.3
	"Greenville County, SC"	"45045"	34	6429	5.3	3.7	7.4
	"Horry County, SC"	"45051"	19	3176	6.0	Suppressed	Suppressed
	"Lexington County, SC"	"45063"	28	3201	8.7	5.8	12.6
	"Richland County, SC"	"45079"	50	5014	10.0	7.4	13.1
	"Spartanburg County, SC"	"45083"	21	3560	5.9	3.7	9.0
	"Sumter County, SC"	"45085"	13	1528	8.5	Suppressed	Suppressed
	"York County, SC"	"45091"	15	2936	5.1	Suppressed	Suppressed
	"Minnehaha County, SD"	"46099"	15	3048	4.9	Suppressed	Suppressed
	"Pennington County, SD"	"46103"	12	1535	7.8	Suppressed	Suppressed
	"Blount County, TN"	"47009"	12	1234	9.7	Suppressed	Suppressed
	"Davidson County, TN"	"47037"	75	10325	7.3	5.7	9.1
	"Hamilton County, TN"	"47065"	29	4287	6.8	4.5	9.7
